order_id,order_date,customer_id,country,category,product,quantity,unit_price,discount_pct,shipping_cost,returned
ORD-000001,2025-07-19,CUST-00737,BE,Sports,Dumbbells,1,178.36,20.0,,False
ORD-000002,2024-12-31,CUST-00519,FR,Toys,Doll,5,305.65,15.0,1.92,False
ORD-000003,2025-11-08,CUST-00129,BE,Sports,Tennis Racket,1,259.33,20.0,6.65,False
ORD-000004,2025-05-27,CUST-00496,ES,Toys,Board Game,3,30.21,,9.47,False
ORD-000005,2025-12-10,CUST-00697,NL,Grocery,Chocolate,1,357.78,15.0,2.92,False
ORD-000006,2024-10-27,CUST-00456,NL,Sports,Tennis Racket,1,65.94,10.0,11.17,False
ORD-000007,2024-09-27,CUST-00462,IT,Toys,Action Figure,5,190.47,0.0,1.95,False
ORD-000008,2024-03-12,CUST-00438,ES,Beauty,Razor,2,269.58,0.0,12.49,False
ORD-000009,2025-08-31,CUST-00891,IT,Beauty,Razor,4,322.88,0.0,4.32,False
ORD-000010,2024-12-10,,DE,Sports,Dumbbells,1,83.96,0.0,11.8,False
ORD-000011,2025-07-24,CUST-00616,ES,Sports,Dumbbells,2,186.27,5.0,2.1,False
ORD-000012,2025-02-17,CUST-00775,NL,Sports,Tennis Racket,4,191.08,5.0,11.47,False
ORD-000013,2025-02-12,CUST-00387,IT,Toys,Lego Set,1,125.06,0.0,6.55,False
ORD-000014,2025-11-01,CUST-00411,belgique,Toys,Puzzle,3,342.09,0.0,0.87,False
ORD-000015,2025-04-28,CUST-00585,UK,Beauty,Moisturizer,3,225.03,15.0,9.96,False
ORD-000016,2025-05-24,CUST-00647,FR,Beauty,Razor,5,70.95,0.0,1.35,False
ORD-000017,2024-04-27,CUST-00233,FR,Grocery,Tea,4,202.91,0.0,10.44,False
ORD-000018,2024-09-07,CUST-00166,DE,Fashion,Sneakers,2,124.1,10.0,5.43,False
ORD-000019,2025-12-04,CUST-00369,U.K.,Beauty,Sunscreen,2,363.89,15.0,3.99,False
ORD-000020,2024-11-22,CUST-01263,DE,Fashion,Jeans,4,288.17,0.0,4.08,False
ORD-000021,2024-11-29,CUST-00649,BE,Fashion,T-Shirt,1,84.93,0.0,8.69,False
ORD-000022,2024-04-12,CUST-00818,DE,Grocery,Coffee Beans,5,304.62,15.0,,False
ORD-000023,2025-04-20,,NL,Toys,Puzzle,-1,38.36,0.0,0.62,False
ORD-000024,2024-08-07,CUST-01295,NL,Electronics,Headphones,2,62.09,0.0,8.81,False
